ID,x,y,說明
1254,121.032117,24.812926,b
1255,121.026292,24.816519,a
1256,121.013297,24.822003,b
1257,121.018593,24.821675,a
1258,121.015391,24.822245,b
1259,121.019572,24.828919,a
1260,121.024632,24.824769,b
1261,121.00861,24.824871,a
1262,121.014479,24.824446,b
1263,121.02796,24.819125,a
1264,121.019813,24.83575,b
1265,121.025752,24.823676,a
1266,121.027583,24.819477,b
1267,121.025752,24.823676,a
1268,121.027721,24.819589,b
1269,121.027828,24.813884,a
1270,121.04004,24.805702,b
1271,121.016217,24.829576,a
1272,121.027828,24.813884,b
1273,121.025752,24.823676,a
1274,121.037154,24.80648,b
1275,121.026292,24.816519,a
1276,121.015913,24.843659,b
1277,121.015913,24.843659,a
1278,120.975612,24.840798,b
1279,121.025752,24.823676,a
1280,121.018801,24.819239,b
1281,121.014479,24.824446,a
1282,121.02796,24.819125,b
1283,121.026292,24.816519,a
1284,121.025752,24.823676,b
1285,121.024113,24.821588,a
1286,121.027828,24.813884,b
1287,121.03251,24.814431,a
1288,121.010214,24.83324,b
1289,121.019572,24.828919,a
1290,121.014024,24.829427,b
1291,121.013282,24.832305,a
1292,121.011632,24.834443,b
1293,121.01323,24.832303,a
1294,121.01966,24.835861,b
1295,121.029013,24.819708,a
1296,121.018271,24.834778,b
1297,121.014422,24.832238,a
1298,121.012305,24.836681,b
1299,121.019676,24.823713,a
1300,121.018309,24.832337,b
1301,121.012265,24.832354,a
1302,121.015158,24.82845,b
1303,121.001068,24.843839,a
1304,121.014862,24.822236,b
1305,121.010502,24.835456,a
1306,121.011265,24.831595,b
1307,121.018638,24.832995,a
1308,121.018271,24.834778,b
1309,121.012496,24.830096,a
1310,121.018147,24.831952,b
1311,121.015381,24.82608,a
1312,121.016217,24.829576,b
1313,121.014024,24.829427,a
1314,121.016569,24.819559,b
1315,121.009284,24.83348,a
1316,121.01577,24.836998,b
1317,121.089518,24.732615,a
1318,121.004819,24.835898,b
1319,121.017815,24.833736,a
1320,120.969519,24.868985,b
1321,121.01577,24.836998,a
1322,121.010421,24.829044,b
1323,121.014583,24.82508,a
1324,120.997436,24.847574,b
1325,121.010601,24.824827,a
1326,121.014479,24.824446,b
1327,121.009036,24.819551,a
1328,121.013297,24.822003,b
1329,121.008185,24.836146,a
1330,120.983584,24.853502,b
1331,121.010121,24.823461,a
1332,121.011832,24.834526,b
1333,121.013297,24.822003,a
1334,120.999391,24.837008,b
1335,121.006409,24.828649,a
1336,121.020658,24.811723,b
1337,121.010678,24.822454,a
1338,121.013297,24.822003,b
1339,120.997436,24.847574,a
1340,121.005553,24.840503,b
1341,121.014422,24.832238,a
1342,121.017815,24.833736,b
1343,121.014862,24.822236,a
1344,121.082308,24.747195,b
1345,121.0147,24.82101,a
1346,121.013297,24.822003,b
1347,121.013297,24.822003,a
1348,121.013297,24.822003,b
1349,121.03876,24.810501,a
1350,121.015818,24.825938,b
1351,121.0147,24.82101,a
1352,121.000834,24.828399,b
1353,121.010421,24.829044,a
1354,121.02022,24.830141,b
1355,121.010421,24.829044,a
1356,121.02022,24.830141,b
1357,121.015381,24.82608,a
1358,121.025752,24.823676,b
1359,121.024088,24.824104,a
1360,121.013297,24.822003,b
1361,121.085186,24.741994,a
1362,121.015381,24.82608,b
1363,121.015381,24.82608,a
1364,121.015381,24.82608,b
1365,121.002088,24.827722,a
1366,121.015047,24.827782,b
1367,121.012591,24.83676,a
1368,121.015381,24.82608,b
1369,121.015047,24.827782,a
1370,121.010421,24.829044,b
1371,121.014583,24.82508,a
1372,121.014583,24.82508,b
